cmip6-id, cmip6-label, cmip6-type
cmip6.atmosphere, Atmosphere, realm
, , 
cmip6.atmosphere.grid, Atmosphere > Grid, grid
, , 
cmip6.atmosphere.key_properties, Atmosphere > Key Properties, key-properties
, , 
cmip6.atmosphere.dynamical_core, Atmosphere > Dynamical Core, process
cmip6.atmosphere.dynamical_core.top_boundary, Atmosphere > Dynamical Core > Top Boundary, sub-process
cmip6.atmosphere.dynamical_core.lateral_boundary, Atmosphere > Dynamical Core > Lateral Boundary, sub-process
cmip6.atmosphere.dynamical_core.diffusion_horizontal, Atmosphere > Dynamical Core > Diffusion Horizontal, sub-process
cmip6.atmosphere.dynamical_core.advection_tracers, Atmosphere > Dynamical Core > Advection Tracers, sub-process
cmip6.atmosphere.dynamical_core.advection_momentum, Atmosphere > Dynamical Core > Advection Momentum, sub-process
, , 
cmip6.atmosphere.cloud_scheme, Atmosphere > Cloud Scheme, process
cmip6.atmosphere.cloud_scheme.sub_grid_scale_water_distribution, Atmosphere > Cloud Scheme > Sub Grid Scale Water Distribution, sub-process
, , 
cmip6.atmosphere.cloud_simulator, Atmosphere > Cloud Simulator, process
, , 
cmip6.atmosphere.gravity_waves, Atmosphere > Gravity Waves, process
cmip6.atmosphere.gravity_waves.orographic_gravity_waves, Atmosphere > Gravity Waves > Orographic Gravity Waves, sub-process
cmip6.atmosphere.gravity_waves.non_orographic_gravity_waves, Atmosphere > Gravity Waves > Non Orographic Gravity Waves, sub-process
, , 
cmip6.atmosphere.microphysics_precipitation, Atmosphere > Microphysics Precipitation, process
cmip6.atmosphere.microphysics_precipitation.large_scale_precipitation, Atmosphere > Microphysics Precipitation > Large Scale Precipitation, sub-process
cmip6.atmosphere.microphysics_precipitation.cloud_microphysics, Atmosphere > Microphysics Precipitation > Cloud Microphysics, sub-process
, , 
cmip6.atmosphere.radiation, Atmosphere > Radiation, process
cmip6.atmosphere.radiation.longwave_radiation, Atmosphere > Radiation > Longwave Radiation, sub-process
cmip6.atmosphere.radiation.shortwave_radiation, Atmosphere > Radiation > Shortwave Radiation, sub-process
, , 
cmip6.atmosphere.turbulence_convection, Atmosphere > Turbulence Convection, process
cmip6.atmosphere.turbulence_convection.boundary_layer_turbulence_scheme, Atmosphere > Turbulence Convection > Boundary Layer Turbulence Scheme, sub-process
cmip6.atmosphere.turbulence_convection.deep_convection_scheme, Atmosphere > Turbulence Convection > Deep Convection Scheme, sub-process
cmip6.atmosphere.turbulence_convection.shallow_convection_scheme, Atmosphere > Turbulence Convection > Shallow Convection Scheme, sub-process
cmip6.atmosphere.turbulence_convection.other_convection_scheme_details, Atmosphere > Turbulence Convection > Other Convection Scheme Details, sub-process
